step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7366949605118575
2000,100,0.1,0.001,1.2172949002217297,1.04,0.9074347450362805
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7178698226880521
2000,100,0.1,0.001,1.2172949002217297,1.08,0.8969768449864006
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8824597567790452
2000,100,0.1,0.001,1.2172949002217297,1.36,0.9056664365828525
2000,100,0.1,0.001,1.2172949002217297,1.0,0.8555478822600725
2000,100,0.1,0.001,1.2172949002217297,1.48,0.7961995358152626
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7957790792055246
2000,100,0.1,0.001,1.2172949002217297,1.5,0.8429204889738551
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7784621465157167
2000,100,0.1,0.001,1.2172949002217297,1.36,0.8408001992349164
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7690896861513857
2000,100,0.1,0.001,1.2172949002217297,1.16,0.853004761945499
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8814114125002546
2000,100,0.1,0.001,1.2172949002217297,1.28,0.8496256969577797
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8523504171671267
2000,100,0.1,0.001,1.2172949002217297,1.12,0.6578675667663955
2000,100,0.1,0.001,1.2172949002217297,1.16,0.714759687531427
2000,100,0.1,0.001,1.2172949002217297,1.38,0.8045405265500507
2000,100,0.1,0.001,1.2172949002217297,1.22,0.9075883310251421
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8506637449379615
2000,100,0.1,0.001,1.2172949002217297,1.14,0.9077514820569287
2000,100,0.1,0.001,1.2172949002217297,1.1,0.9318177974349049
2000,100,0.1,0.001,1.2172949002217297,1.06,0.911419455517391
2000,100,0.1,0.001,1.2172949002217297,1.3,0.7760172320932204
2000,100,0.1,0.001,1.2172949002217297,1.2,0.811943865631367
2000,100,0.1,0.001,1.2172949002217297,1.06,0.7043662747745485
2000,100,0.1,0.001,1.2172949002217297,1.14,0.9306722952058073
2000,100,0.1,0.001,1.2172949002217297,1.0,0.8974389984512179
2000,100,0.1,0.001,1.2172949002217297,1.36,0.8270187320555812
2000,100,0.1,0.001,1.2172949002217297,1.28,0.8323053509413225
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7708491781463361
2000,100,0.1,0.001,1.2172949002217297,1.06,0.8662643969314803
2000,100,0.1,0.001,1.2172949002217297,1.06,0.9315757026893822
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7753604516601934
2000,100,0.1,0.001,1.2172949002217297,1.1,0.8604741300266563
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7330144478914995
2000,100,0.1,0.001,1.2172949002217297,1.16,0.6705974739217753
2000,100,0.1,0.001,1.2172949002217297,1.32,0.9197727059432028
2000,100,0.1,0.001,1.2172949002217297,1.2,0.6608039740685032
2000,100,0.1,0.001,1.2172949002217297,1.06,0.9270614166584765
2000,100,0.1,0.001,1.2172949002217297,1.3,0.7756224768987404
2000,100,0.1,0.001,1.2172949002217297,1.06,0.8594909683503824
2000,100,0.1,0.001,1.2172949002217297,1.06,0.9337669397334681
2000,100,0.1,0.001,1.2172949002217297,1.18,0.9637583770903729
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8553781662006228
2000,100,0.1,0.001,1.2172949002217297,0.96,0.668257632122193
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7323061900661173
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7741474914030426
2000,100,0.1,0.001,1.2172949002217297,1.1,0.605082110613864
2000,100,0.1,0.001,1.2172949002217297,1.08,0.6957551547506718
2000,100,0.1,0.001,1.2172949002217297,1.28,0.8098006710138297
2000,100,0.1,0.001,1.2172949002217297,1.16,0.7628308742217825
2000,100,0.1,0.001,1.2172949002217297,1.16,0.7709958955319661
2000,100,0.1,0.001,1.2172949002217297,1.12,0.800330649782196
2000,100,0.1,0.001,1.2172949002217297,1.22,0.9355962043798548
2000,100,0.1,0.001,1.2172949002217297,1.34,0.7935209769059719
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8746771350639372
2000,100,0.1,0.001,1.2172949002217297,1.14,0.9251270452847902
2000,100,0.1,0.001,1.2172949002217297,1.1,0.8086011106204282
2000,100,0.1,0.001,1.2172949002217297,1.16,0.9088830030545371
2000,100,0.1,0.001,1.2172949002217297,1.12,0.9299891036156664
2000,100,0.1,0.001,1.2172949002217297,1.32,0.7961472266744797
2000,100,0.1,0.001,1.2172949002217297,1.02,0.8868959139417335
2000,100,0.1,0.001,1.2172949002217297,1.3,0.7065976084200694
2000,100,0.1,0.001,1.2172949002217297,1.16,0.8522307747244128
2000,100,0.1,0.001,1.2172949002217297,1.04,0.7005043649718079
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7308852343505763
2000,100,0.1,0.001,1.2172949002217297,1.3,0.8307460342471839
2000,100,0.1,0.001,1.2172949002217297,1.28,0.6539791922130891
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7458355991457973
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7267133914787142
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7342540937127283
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7827211608510026
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7074581204297515
2000,100,0.1,0.001,1.2172949002217297,1.28,0.8444122878634007
2000,100,0.1,0.001,1.2172949002217297,1.2,0.5574811428084523
2000,100,0.1,0.001,1.2172949002217297,1.52,0.676017442391579
2000,100,0.1,0.001,1.2172949002217297,1.26,0.815569195691414
2000,100,0.1,0.001,1.2172949002217297,1.32,0.9103725069468594
2000,100,0.1,0.001,1.2172949002217297,1.28,0.6711161997333995
2000,100,0.1,0.001,1.2172949002217297,0.98,0.9124314366766186
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8737919843984717
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7219600871378201
2000,100,0.1,0.001,1.2172949002217297,1.24,0.600044059919897
2000,100,0.1,0.001,1.2172949002217297,1.26,0.7614473711185102
2000,100,0.1,0.001,1.2172949002217297,1.0,0.8516335927787426
2000,100,0.1,0.001,1.2172949002217297,0.96,0.8152636501534541
2000,100,0.1,0.001,1.2172949002217297,1.4,0.8971321408235068
2000,100,0.1,0.001,1.2172949002217297,1.26,0.8390643358040542
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8726175621369634
2000,100,0.1,0.001,1.2172949002217297,1.1,0.853378445251251
2000,100,0.1,0.001,1.2172949002217297,1.22,0.6541537061601551
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7697623166349665
2000,100,0.1,0.001,1.2172949002217297,1.12,0.9021134734747197
2000,100,0.1,0.001,1.2172949002217297,1.3,0.7577334876832308
2000,100,0.1,0.001,1.2172949002217297,1.1,0.6498657288834584
2000,100,0.1,0.001,1.2172949002217297,1.22,0.6171569560372377
2000,100,0.1,0.001,1.2172949002217297,1.24,0.8944312432182753
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8440753895212498
2000,100,0.1,0.001,1.2172949002217297,1.06,0.913879071179562
2000,100,0.1,0.001,1.2172949002217297,1.28,0.6940371763442484
2000,100,0.1,0.001,1.2172949002217297,1.32,0.8248496354097296
2000,100,0.1,0.001,1.2172949002217297,1.18,0.7485717387581201
2000,100,0.1,0.001,1.2172949002217297,1.32,0.7447045138252301
2000,100,0.1,0.001,1.2172949002217297,1.32,0.759374790664942
2000,100,0.1,0.001,1.2172949002217297,1.16,0.8288317173383831
2000,100,0.1,0.001,1.2172949002217297,1.12,0.5828291760665825
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7576614412658821
2000,100,0.1,0.001,1.2172949002217297,1.16,0.6144096259784562
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8071239320965284
2000,100,0.1,0.001,1.2172949002217297,1.0,0.7681955615223128
2000,100,0.1,0.001,1.2172949002217297,1.12,0.9091061679858414
2000,100,0.1,0.001,1.2172949002217297,1.04,0.7796334752878361
2000,100,0.1,0.001,1.2172949002217297,1.16,0.898793466825819
2000,100,0.1,0.001,1.2172949002217297,1.18,0.7639317999910527
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8783160566487263
2000,100,0.1,0.001,1.2172949002217297,1.1,0.7800259865238055
2000,100,0.1,0.001,1.2172949002217297,1.18,0.7747239694638693
2000,100,0.1,0.001,1.2172949002217297,1.22,0.7726174436280381
2000,100,0.1,0.001,1.2172949002217297,1.26,0.8245628508518376
2000,100,0.1,0.001,1.2172949002217297,1.2,0.9053251336154208
2000,100,0.1,0.001,1.2172949002217297,1.02,0.6976579311298919
2000,100,0.1,0.001,1.2172949002217297,1.08,0.9129664512802129
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7630931231124738
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8531433713262209
2000,100,0.1,0.001,1.2172949002217297,1.02,0.8227252063685134
