step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.0,0.1,9.827205882352942,9.76,0.10147586575961347
2000,100,0.0,0.1,9.827205882352942,9.68,0.058090529020373
2000,100,0.0,0.1,9.827205882352942,9.56,0.15116319656763003
2000,100,0.0,0.1,9.827205882352942,9.7,0.09114939740521619
2000,100,0.0,0.1,9.827205882352942,10.36,0.1088935688658231
2000,100,0.0,0.1,9.827205882352942,9.76,0.08570277910381517
2000,100,0.0,0.1,9.827205882352942,9.76,0.05102819807133388
2000,100,0.0,0.1,9.827205882352942,9.76,0.07528001768051065
2000,100,0.0,0.1,9.827205882352942,9.46,0.07174046740826645
2000,100,0.0,0.1,9.827205882352942,10.64,0.11342861380720262
2000,100,0.0,0.1,9.827205882352942,9.3,-0.030481524360994362
2000,100,0.0,0.1,9.827205882352942,9.88,0.11003011938336456
2000,100,0.0,0.1,9.827205882352942,10.26,0.05405249903310553
2000,100,0.0,0.1,9.827205882352942,9.16,0.1034746020688325
2000,100,0.0,0.1,9.827205882352942,10.12,-0.032548933384968066
2000,100,0.0,0.1,9.827205882352942,9.9,0.03635826600157761
2000,100,0.0,0.1,9.827205882352942,10.04,-0.011058890555220236
2000,100,0.0,0.1,9.827205882352942,10.42,0.10843135057622955
2000,100,0.0,0.1,9.827205882352942,9.44,-0.00863832324395916
2000,100,0.0,0.1,9.827205882352942,9.18,0.09569722139487977
2000,100,0.0,0.1,9.827205882352942,9.84,0.163088474683195
2000,100,0.0,0.1,9.827205882352942,9.46,0.14713303805667927
2000,100,0.0,0.1,9.827205882352942,9.84,0.10924588629750094
2000,100,0.0,0.1,9.827205882352942,9.62,0.06455037085081909
2000,100,0.0,0.1,9.827205882352942,9.7,0.07823684465262608
2000,100,0.0,0.1,9.827205882352942,9.76,0.010800002271605573
2000,100,0.0,0.1,9.827205882352942,10.52,0.057251203313706055
2000,100,0.0,0.1,9.827205882352942,9.4,0.050919283003319736
2000,100,0.0,0.1,9.827205882352942,10.3,0.0800518432685665
2000,100,0.0,0.1,9.827205882352942,9.76,0.09092568203479932
2000,100,0.0,0.1,9.827205882352942,10.7,0.0532892594064114
2000,100,0.0,0.1,9.827205882352942,9.98,0.025528779665130272
2000,100,0.0,0.1,9.827205882352942,9.62,0.07979129295994722
2000,100,0.0,0.1,9.827205882352942,9.54,0.08082747989396881
2000,100,0.0,0.1,9.827205882352942,9.36,0.10548336142581018
2000,100,0.0,0.1,9.827205882352942,10.24,0.015401117649248904
2000,100,0.0,0.1,9.827205882352942,9.58,0.050427844132020345
2000,100,0.0,0.1,9.827205882352942,10.1,0.03256493197900169
2000,100,0.0,0.1,9.827205882352942,9.52,0.08220778989602617
2000,100,0.0,0.1,9.827205882352942,10.28,0.05306305792857004
2000,100,0.0,0.1,9.827205882352942,9.92,0.12012531310837998
