p_n,p_r,clustering_mean,clustering_std,mean_degree_mean,mean_degree_std,expected_mean_degree_mean,clust_min,clust_max,degree_min,degree_max
0.0,0.0,0.0,0.0,0.9808000000000001,0.06388254528301716,1.0,0.0,0.0,0.9169174547169829,1.0446825452830173
0.0,0.05,0.03720946497946499,0.0105952939156129,5.5936,0.31901480996905424,5.621751684311841,0.026614171063852093,0.04780475889507789,5.274585190030946,5.912614809969055
0.0,0.1,0.08278396670080342,0.008454100178178922,9.8508,0.40581910114870495,9.827205882352933,0.0743298665226245,0.09123806687898234,9.444980898851295,10.256619101148704
0.0,0.15,0.12038489272726044,0.006746866241013594,13.654000000000003,0.4109173411094861,13.670184696569923,0.11363802648624685,0.12713175896827403,13.243082658890517,14.06491734110949
0.0,0.2,0.15664200958583074,0.00598003167486002,17.327199999999998,0.46606927749914107,17.1956155143339,0.15066197791097072,0.16262204126069077,16.861130722500857,17.79326927749914
0.0,0.25,0.18609506301476253,0.006250029369471586,20.412399999999998,0.438771755085972,20.44129554655868,0.17984503364529095,0.1923450923842341,19.973628244914025,20.85117175508597
0.0,0.3,0.2171660280790811,0.0056251037027741585,23.506400000000003,0.41554370579828503,23.439252336448593,0.21154092437630695,0.22279113178185528,23.090856294201718,23.921943705798288
0.0,0.35,0.24600847009628368,0.00639675232348041,26.279600000000002,0.43091719930058603,26.216804201050287,0.23961171777280327,0.2524052224197641,25.848682800699414,26.71051719930059
0.0,0.4,0.2703471631727333,0.006311173525368166,28.8428,0.48013620516495553,28.797395079594786,0.26403598964736513,0.2766583366981014,28.362663794835044,29.322936205164957
0.0,0.45,0.294324450966487,0.006002801581939849,31.19919999999999,0.5128226808954695,31.201257861635217,0.2883216493845472,0.30032725254842685,30.686377319104523,31.71202268089546
0.0,0.5,0.31569073587834107,0.0056761593431478895,33.36760000000001,0.455190294362295,33.44594594594598,0.31001457653519315,0.321366895221489,32.912409705637714,33.822790294362306
0.0,0.55,0.3370374559900894,0.006047256368713963,35.546800000000005,0.4607644048043361,35.54676258992804,0.33099019962137544,0.34308471235880333,35.08603559519567,36.00756440480434
0.0,0.6,0.35553593537106243,0.005835348038758104,37.529199999999996,0.42994465709352087,37.51711026615971,0.3497005873323043,0.36137128340982055,37.099255342906474,37.95914465709352
0.0,0.65,0.3732930301518622,0.005813616573312022,39.513600000000004,0.5344222896488035,39.36877688998153,0.3674794135785502,0.37910664672517425,38.9791777103512,40.048022289648806
0.0,0.7,0.3877712613046643,0.005978317528042081,41.05960000000002,0.4882871353318787,41.112171837708786,0.38179294377662226,0.3937495788327064,40.57131286466814,41.5478871353319
0.0,0.75,0.4021805501577447,0.0056037760972102646,42.765999999999984,0.4170890376240092,42.75652173913043,0.39657677406053443,0.4077843262549549,42.348910962375975,43.18308903762399
0.0,0.8,0.4133383177246508,0.006818155171264608,44.22640000000001,0.4481880071977814,44.310033821871464,0.4065201625533862,0.4201564728959154,43.778211992802234,44.67458800719779
0.0,0.85,0.4202877689487485,0.007960251941633288,45.82120000000002,0.43915335985209986,45.78003291278112,0.4123275170071152,0.4282480208903818,45.38204664014792,46.26035335985212
0.0,0.9,0.42040549319089526,0.013851007016029837,47.16680000000001,0.4345602515703638,47.17307692307694,0.40655448617486545,0.4342565002069251,46.73223974842965,47.60136025157037
0.0,0.95,0.39475046505214073,0.023060447624330505,48.539199999999994,0.3328530962353658,48.49505465903171,0.3716900174278102,0.41781091267647125,48.206346903764626,48.87205309623536
0.0,1.0,0.03443025026529398,0.07619165203340564,49.786000000000016,0.2874305594932661,49.75126903553295,-0.04176140176811166,0.11062190229869961,49.49856944050675,50.07343055949328
0.05,0.0,0.038826666666666676,0.026564108908189783,1.0584,0.09729735613162403,1.0520722635494146,0.012262557758476893,0.06539077557485645,0.961102643868376,1.155697356131624
0.05,0.05,0.054692579838462166,0.01206532889644957,5.8839999999999995,0.30229057517020713,5.9,0.0426272509420126,0.06675790873491173,5.581709424829793,6.186290575170206
0.05,0.1,0.09288544867585113,0.008843500530869998,10.275599999999999,0.393835975388491,10.290664100096249,0.08404194814498114,0.10172894920672113,9.881764024611508,10.66943597538849
0.05,0.15,0.13253307584827292,0.006710989091666842,14.257200000000003,0.4486171041349725,14.285845588235286,0.12582208675660608,0.13924406493993977,13.80858289586503,14.705817104134976
0.05,0.2,0.16507895939205558,0.006284782229625047,17.855199999999996,0.4885557223874786,17.936675461741412,0.15879417716243052,0.17136374162168064,17.36664427761252,18.343755722387474
0.05,0.25,0.20076529344787,0.007112612971127447,21.306799999999996,0.48463089257786324,21.285834738617183,0.19365268047674256,0.20787790641899745,20.822169107422134,21.791430892577857
0.05,0.3,0.23019697486097918,0.007787589808338561,24.282800000000012,0.5394632252791393,24.36923076923076,0.2224093850526406,0.23798456466931775,23.743336774720873,24.82226322527915
0.05,0.35,0.25854205140217207,0.006566352491705665,27.236400000000003,0.5297622108078303,27.217289719626173,0.2519756989104664,0.26510840389387774,26.706637789192172,27.766162210807835
0.05,0.4,0.28382489952166273,0.0072338389294247475,29.72880000000001,0.6072239945784726,29.85596399099774,0.276591060592238,0.2910587384510875,29.121576005421538,30.336023994578483
0.05,0.45,0.3116758321124948,0.006160805125640008,32.3956,0.4667961142135799,32.30752532561503,0.3055150269868548,0.31783663723813477,31.928803885786422,32.86239611421358
0.05,0.5,0.33217660436545093,0.006832167407833827,34.558000000000014,0.545725504746308,34.59119496855349,0.3253444369576171,0.33900877177328476,34.012274495253706,35.10372550474632
0.05,0.55,0.35344635375968997,0.005524031702043426,36.7464,0.45820305631491215,36.72364864864863,0.34792232205764656,0.3589703854617334,36.28819694368509,37.204603056314916
0.05,0.6,0.3725084683564239,0.005098369202850643,38.76039999999998,0.3782125522690612,38.71942446043163,0.3674100991535733,0.37760683755927454,38.38218744773092,39.138612552269045
0.05,0.65,0.39080808085390345,0.0054410882364713115,40.65560000000001,0.48841751961757834,40.59125475285169,0.3853669926174321,0.3962491690903748,40.16718248038243,41.144017519617584
0.05,0.7,0.40630690460901275,0.005540297725815987,42.3196,0.47381198372177863,42.35033804548245,0.40076660688319676,0.41184720233482874,41.84578801627822,42.79341198372178
0.05,0.75,0.42250138558522204,0.005895943279606386,44.033999999999985,0.48682645778552297,44.00656324582339,0.41660544230561564,0.42839732886482845,43.54717354221446,44.52082645778551
0.05,0.8,0.4351069425084127,0.005738012937907935,45.556,0.4386993764038682,45.56869565217397,0.42936892957050476,0.44084495544632063,45.11730062359613,45.994699376403865
0.05,0.85,0.4456237510034207,0.006857749216852751,47.0248,0.43891443078465747,47.04453213077793,0.438766001786568,0.45248150022027345,46.58588556921534,47.463714430784655
