p_n,p_r,assort_mean,assort_std,assort_min,assort_max
0.1,0.01,0.42637804011228236,0.10078451559326956,0.4218708195533636,0.43088526067120114
0.2,0.01,0.4242666598651025,0.09577578817169047,0.4199834364060921,0.42854988332411287
0.3,0.01,0.4234443189960243,0.09588215301853546,0.41915633875645464,0.42773229923559397
0.4,0.01,0.3997373016021566,0.10616526591932453,0.3949894465732576,0.4044851566310556
0.5,0.01,0.38348526114015424,0.10708121570198895,0.37869644359169496,0.3882740786886135
0.6,0.01,0.36194277338212655,0.10662740737712147,0.35717425075893044,0.36671129600532265
0.7,0.01,0.33230024859814206,0.11587576642615896,0.32711812678466645,0.33748237041161766
0.8,0.01,0.28269633772584907,0.11622323281922094,0.2774986767428778,0.2878939987088203
0.9,0.01,0.21019288977005282,0.11982197871320599,0.2048342879780276,0.21555149156207803
