p_n,p_r,clustering_mean,clustering_std,mean_degree_mean,mean_degree_std,expected_mean_degree_mean,clust_min,clust_max,degree_min,degree_max
0.0,0.1,0.07907013513146639,0.00796162523090419,9.809599999999996,0.42115952671021895,9.827205882352933,0.07110850990056221,0.08703176036237058,9.388440473289776,10.230759526710216
0.0,0.3,0.2189283575322764,0.006327207140976208,23.5268,0.44917357219585347,23.439252336448593,0.2126011503913002,0.2252555646732526,23.077626427804148,23.975973572195855
0.0,0.5,0.316836139394372,0.006261087849337507,33.395199999999996,0.5120994801315665,33.44594594594598,0.3105750515450345,0.3230972272437095,32.88310051986843,33.90729948013156
0.05,0.1,0.0969617379850971,0.0075875343092051805,10.33,0.4029938977610617,10.290664100096249,0.08937420367589191,0.10454927229430228,9.927006102238938,10.732993897761062
0.05,0.3,0.22995075240535898,0.006777438757716767,24.273200000000006,0.5507339814895638,24.36923076923076,0.2231733136476422,0.23672819116307575,23.722466018510442,24.82393398148957
0.05,0.5,0.33227004544524896,0.006440501632688178,34.6036,0.5920519833768049,34.59119496855349,0.3258295438125608,0.33871054707793713,34.011548016623195,35.195651983376806
0.1,0.1,0.10802778058841593,0.008775057231963583,10.763599999999999,0.4275357008604125,10.800000000000004,0.09925272335645235,0.11680283782037951,10.336064299139586,11.19113570086041
0.1,0.3,0.2476208309601203,0.007711378002089008,25.639200000000002,0.5983236445883361,25.3760539629005,0.2399094529580313,0.2553322089622093,25.040876355411665,26.23752364458834
0.1,0.5,0.3475975691107854,0.006300412081377916,35.75040000000002,0.5662369879569974,35.81765557163528,0.34129715702940744,0.3538979811921633,35.18416301204302,36.31663698795702
0.15,0.1,0.12213706532629212,0.010327058686709214,11.281600000000001,0.48817594686961063,11.362380446333693,0.1118100066395829,0.13246412401300134,10.79342405313039,11.769775946869611
0.15,0.3,0.2581298207953895,0.00722833991636297,26.392400000000002,0.6231832697971775,26.469656992084452,0.25090148087902653,0.26535816071175244,25.769216730202825,27.01558326979718
0.15,0.5,0.3631380911738804,0.007393223645232454,37.08879999999999,0.5895852572022164,37.1342835708927,0.355744867528648,0.37053131481911283,36.499214742797776,37.67838525720221
0.2,0.1,0.13942280557456305,0.010090784351301427,12.1756,0.5718611220017873,11.986547085201787,0.12933202122326162,0.14951358992586447,11.603738877998213,12.747461122001786
0.2,0.3,0.27507436725811274,0.0062433471433757555,27.731600000000007,0.5201426805822277,27.661764705882366,0.268831020114737,0.2813177144014885,27.21145731941778,28.251742680582236
0.2,0.5,0.3786323876140208,0.0062751605847,38.4128,0.5210313163842083,38.55140186915884,0.3723572270293208,0.3849075481987208,37.89176868361579,38.93383131638421
0.25,0.1,0.15099519656755006,0.009159034027455019,12.728800000000001,0.5408558599335778,12.68327402135231,0.14183616254009504,0.16015423059500508,12.187944140066424,13.269655859933579
0.25,0.3,0.290436499716673,0.008481767782861995,28.960000000000004,0.7130160143606127,28.966313763233906,0.28195473193381104,0.298918267499535,28.246983985639393,29.673016014360616
0.25,0.5,0.39751593043212274,0.0070062353429206125,40.05239999999999,0.6145433346836352,40.080971659919,0.39050969508920214,0.40452216577504335,39.43785666531635,40.66694333468363
0.3,0.1,0.16632289789404242,0.007588654715340125,13.635999999999994,0.4641076581649424,13.465994962216621,0.1587342431787023,0.17391155260938254,13.17189234183505,14.100107658164937
0.3,0.3,0.3087475283649556,0.007287314842804102,30.569200000000002,0.6362544735418695,30.40000000000002,0.3014602135221515,0.3160348432077597,29.932945526458134,31.20545447354187
0.3,0.5,0.4180499717734733,0.006903986336919579,41.842400000000005,0.6478553630468544,41.7369308600337,0.41114598543655373,0.4249539581103929,41.194544636953154,42.490255363046856
0.35,0.1,0.17583587528931777,0.008742978172060677,14.369599999999998,0.5979180204540365,14.351677852348987,0.16709289711725708,0.18457885346137845,13.771681979545962,14.967518020454035
0.35,0.3,0.32494996178377933,0.007772620873853769,31.968399999999995,0.727995178275129,31.982996811902236,0.31717734090992555,0.3327225826576331,31.240404821724866,32.696395178275125
0.35,0.5,0.4346478714147339,0.007306938817044031,43.3704,0.6747485094614201,43.53562005277041,0.42734093259768985,0.4419548102317779,42.69565149053857,44.04514850946142
0.4,0.1,0.1883552225347548,0.0077326993330175805,15.245600000000001,0.5794866130411276,15.36206896551724,0.18062252320173725,0.19608792186777238,14.666113386958873,15.82508661304113
